62174,35138,2688
x,p1,7
x,p2,5
x,p1,7
o,p1,6
x,p1,7
x,p2,7
x,p1,7
o,p1,6
x,p1,7
x,p1,7
o,p2,8
x,p1,7
x,p2,5
x,p1,7
x,p1,7
x,p1,5
o,p1,6
o,p2,8
o,p1,8
x,p2,7
x,p1,7
n,n,9
x,p1,5
x,p1,7
x,p1,5
x,p1,7
x,p1,9
x,p2,7
o,p1,8
o,p1,8
o,p1,6
x,p1,7
o,p1,8
x,p1,7
x,p1,7
x,p2,7
o,p1,8
x,p1,7
o,p1,8
x,p1,7
x,p2,9
x,p2,7
x,p1,5
x,p2,7
x,p1,7
x,p1,7
o,p1,6
x,p1,9
o,p1,6
x,p1,7
x,p1,7
x,p1,7
o,p1,8
x,p2,7
x,p2,5
x,p2,7
o,p2,6
x,p2,9
x,p2,9
o,p2,6
o,p2,6
x,p2,5
x,p2,9
x,p1,7
x,p1,7
o,p1,6
x,p1,5
o,p1,8
x,p2,9
o,p1,8
x,p1,5
x,p2,7
x,p1,7
x,p1,7
x,p1,7
n,n,9
x,p1,7
x,p2,5
x,p1,7
x,p2,7
x,p1,7
x,p1,7
o,p1,8
x,p1,5
x,p2,7
x,p1,7
o,p1,6
x,p1,7
x,p2,7
n,n,9
x,p1,7
x,p2,7
x,p1,7
x,p2,7
o,p1,8
o,p1,8
x,p1,7
o,p2,6
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p1,9
x,p1,7
o,p1,8
x,p2,7
x,p2,7
x,p2,7
o,p2,6
x,p2,7
o,p2,6
n,n,9
n,n,9
x,p2,9
o,p1,8
o,p1,6
x,p2,7
o,p1,8
x,p1,7
o,p1,8
x,p1,7
x,p1,7
x,p2,9
o,p2,6
o,p1,8
x,p2,9
o,p1,8
o,p2,6
x,p2,5
o,p2,8
x,p1,5
x,p2,9
x,p2,9
x,p1,7
x,p2,9
x,p1,7
x,p2,7
x,p1,5
o,p2,6
x,p1,7
x,p2,7
x,p1,5
n,n,9
o,p1,6
x,p2,7
x,p2,5
x,p1,7
x,p1,7
o,p2,8
o,p2,8
o,p1,6
o,p2,6
o,p1,8
x,p1,7
x,p1,7
x,p1,7
o,p1,8
x,p1,7
x,p1,5
x,p1,5
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p1,9
x,p2,7
x,p1,7
o,p2,6
x,p1,7
x,p2,5
x,p2,7
o,p1,6
x,p2,7
x,p1,7
x,p2,5
x,p2,7
o,p1,8
x,p2,7
x,p1,7
x,p2,7
x,p1,7
o,p2,8
x,p2,9
o,p1,8
x,p2,7
x,p2,9
o,p2,8
o,p1,8
o,p1,8
x,p1,7
x,p2,7
o,p1,6
x,p2,7
o,p1,8
x,p1,5
o,p1,6
x,p2,5
x,p2,7
o,p1,6
o,p2,8
x,p1,7
x,p1,7
n,n,9
x,p1,5
x,p1,7
o,p2,6
x,p1,5
x,p2,9
x,p1,5
o,p2,6
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p2,7
x,p1,7
x,p1,7
x,p1,7
x,p1,5
x,p1,7
x,p2,7
x,p2,7
x,p1,7
o,p1,6
x,p1,7
x,p1,5
x,p1,7
x,p2,5
x,p1,7
x,p1,5
x,p1,7
x,p2,5
o,p1,8
o,p1,8
x,p1,7
o,p2,8
x,p1,7
x,p1,7
x,p2,7
o,p1,6
x,p2,5
x,p1,5
x,p1,7
x,p1,7
x,p1,7
x,p1,7
o,p2,6
o,p1,6
x,p1,7
x,p1,5
x,p1,7
o,p1,8
x,p2,7
o,p1,8
x,p1,7
x,p1,5
o,p1,6
o,p1,8
x,p2,7
x,p1,9
x,p1,7
o,p1,6
o,p2,6
o,p2,6
x,p1,7
o,p2,8
x,p2,7
o,p1,6
x,p1,7
x,p1,7
o,p1,8
x,p2,5
x,p1,7
n,n,9
x,p2,9
o,p1,8
o,p1,6
o,p2,6
n,n,9
x,p1,7
x,p2,7
x,p2,5
x,p1,7
o,p2,8
x,p2,5
x,p2,5
o,p1,8
o,p2,6
x,p1,7
x,p1,7
o,p1,6
x,p1,7
x,p1,7
o,p1,8
o,p1,6
o,p1,8
x,p1,7
o,p2,8
x,p1,5
x,p2,9
o,p1,6
x,p1,7
x,p1,7
n,n,9
o,p2,8
x,p2,9
x,p1,7
o,p1,8
x,p1,7
o,p1,8
x,p2,5
o,p2,8
o,p2,8
x,p2,7
x,p1,5
x,p1,7
o,p1,6
x,p1,7
x,p1,5
o,p2,6
x,p1,7
x,p2,7
x,p1,7
x,p1,7
x,p1,7
o,p1,8
x,p1,7
x,p2,9
x,p1,7
x,p1,7
x,p2,9
o,p1,8
x,p1,7
x,p1,7
x,p1,7
x,p1,5
o,p1,6
x,p1,9
x,p1,7
n,n,9
x,p1,5
x,p1,7
x,p1,7
o,p1,8
o,p1,8
o,p1,6
x,p2,5
o,p1,8
x,p2,7
x,p1,7
o,p1,8
x,p2,9
x,p1,7
o,p1,8
x,p1,7
x,p1,7
x,p2,7
o,p1,8
o,p1,6
x,p1,7
x,p1,7
o,p1,6
o,p1,8
o,p1,8
x,p1,7
x,p1,7
o,p1,6
x,p1,7
x,p2,7
x,p2,5
x,p1,7
x,p1,5
o,p1,8
o,p1,8
o,p1,6
x,p1,7
o,p2,6
o,p1,8
x,p1,7
x,p1,7
x,p1,7
x,p1,5
x,p1,7
x,p2,7
o,p1,8
o,p1,6
x,p1,5
x,p2,7
x,p1,5
o,p1,6
n,n,9
x,p1,7
x,p2,7
x,p2,9
o,p1,6
o,p1,8
x,p1,7
o,p1,8
x,p1,5
o,p1,6
o,p1,8
o,p1,8
x,p1,7
x,p1,7
o,p1,6
n,n,9
o,p1,8
x,p1,7
x,p1,7
x,p1,7
o,p1,8
x,p1,7
x,p1,7
x,p1,7
x,p1,9
x,p2,7
x,p1,5
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p1,7
o,p1,8
x,p1,7
o,p1,6
x,p1,5
x,p1,7
x,p1,7
x,p2,9
o,p2,6
o,p1,8
o,p1,6
x,p1,7
o,p1,6
x,p1,7
x,p2,7
o,p1,6
o,p1,8
x,p1,7
o,p2,8
x,p1,5
x,p2,7
x,p2,5
x,p2,7
o,p1,8
x,p2,7
x,p1,7
o,p1,6
x,p1,7
o,p2,8
x,p1,7
o,p1,8
x,p1,7
o,p1,8
x,p2,7
x,p2,5
x,p1,7
x,p2,9
o,p1,6
o,p1,6
x,p2,7
x,p1,7
x,p1,7
x,p1,7
x,p1,7
o,p1,6
x,p1,7
o,p1,6
x,p2,7
x,p1,7
x,p1,7
o,p1,8
x,p1,5
n,n,9
x,p1,7
x,p1,7
x,p1,7
o,p1,8
x,p2,5
x,p2,5
o,p1,8
x,p1,7
o,p1,8
x,p2,9
o,p2,6
o,p2,6
x,p2,7
x,p2,5
x,p1,7
x,p2,9
o,p1,6
x,p1,9
x,p1,7
x,p1,7
x,p2,7
o,p1,8
o,p1,8
x,p1,7
x,p1,9
o,p1,8
x,p1,7
x,p1,7
o,p1,8
x,p2,9
x,p2,7
o,p1,6
x,p1,7
x,p1,5
o,p1,8
x,p2,7
o,p1,8
x,p2,9
x,p1,7
o,p1,8
x,p2,7
o,p1,6
o,p1,6
x,p2,5
x,p2,7
o,p2,6
x,p2,9
x,p1,7
x,p1,7
x,p2,9
x,p1,7
o,p2,6
x,p1,7
x,p1,7
n,n,9
x,p2,9
x,p1,7
x,p1,7
x,p1,7
x,p2,7
x,p1,7
x,p2,9
o,p1,8
x,p1,7
x,p1,5
o,p1,8
o,p2,8
o,p1,8
o,p1,6
o,p1,6
o,p1,8
o,p1,8
x,p2,5
x,p1,7
o,p1,8
x,p2,7
o,p2,6
o,p1,8
x,p2,7
x,p2,5
n,n,9
o,p1,8
o,p1,6
x,p1,7
o,p1,6
o,p1,8
x,p1,7
x,p2,7
x,p1,7
x,p2,7
x,p2,5
o,p1,8
o,p1,6
o,p1,6
x,p1,7
n,n,9
o,p1,8
x,p2,9
x,p1,7
x,p1,7
x,p1,7
o,p1,6
o,p1,8
x,p2,7
o,p1,8
x,p1,7
x,p2,7
n,n,9
x,p1,7
x,p2,5
o,p1,8
o,p1,8
o,p1,8
o,p2,8
x,p1,5
x,p2,5
o,p2,8
o,p1,8
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p2,7
o,p1,6
x,p2,7
x,p1,7
o,p1,8
x,p1,7
x,p1,7
x,p1,7
x,p2,7
x,p2,9
o,p1,8
o,p1,8
x,p1,7
x,p1,9
o,p1,8
x,p2,7
x,p2,9
o,p2,6
x,p1,7
x,p1,7
o,p1,6
o,p1,8
x,p1,7
x,p1,5
o,p1,8
o,p1,8
x,p1,7
x,p2,9
x,p1,7
x,p1,7
o,p1,8
o,p1,8
o,p1,8
x,p1,7
o,p2,8
x,p1,5
o,p1,8
o,p2,8
x,p2,7
o,p1,6
x,p1,5
x,p1,9
x,p2,5
x,p2,7
o,p1,6
x,p1,9
n,n,9
x,p1,7
o,p1,8
o,p1,8
x,p1,7
o,p1,6
o,p1,8
x,p1,9
x,p2,9
o,p1,8
x,p1,5
x,p2,7
o,p1,8
x,p1,7
x,p2,7
x,p2,9
x,p1,7
o,p2,6
o,p1,8
o,p1,6
o,p1,8
o,p1,8
o,p1,6
x,p1,7
x,p2,5
x,p2,9
x,p2,7
o,p1,8
x,p2,7
x,p1,7
o,p1,6
o,p1,6
x,p1,5
o,p1,8
x,p2,5
o,p1,6
x,p1,7
o,p1,6
o,p1,8
x,p2,7
x,p1,7
o,p1,6
o,p1,8
x,p1,7
o,p1,6
x,p1,7
o,p1,8
o,p1,8
x,p1,7
o,p1,8
x,p1,7
o,p1,8
o,p1,8
x,p1,7
x,p1,7
o,p1,8
x,p1,7
x,p1,7
o,p1,8
x,p1,7
x,p2,5
n,n,9
o,p1,6
o,p1,8
x,p1,9
o,p2,6
o,p1,6
x,p2,7
x,p1,5
x,p1,7
x,p1,5
n,n,9
x,p2,7
x,p2,7
o,p1,8
x,p2,7
o,p2,8
x,p2,7
x,p2,9
o,p1,8
o,p1,6
o,p1,8
x,p2,7
x,p1,7
x,p2,7
o,p1,8
x,p1,7
x,p2,7
x,p2,7
o,p1,8
o,p1,8
x,p2,9
x,p1,5
x,p1,7
o,p1,6
x,p1,7
o,p1,8
x,p2,7
x,p2,5
x,p1,7
o,p1,8
o,p2,6
o,p1,6
x,p2,9
x,p2,7
o,p1,8
o,p1,8
x,p1,7
x,p1,7
x,p1,5
x,p1,7
x,p1,7
o,p1,8
x,p2,7
x,p1,7
x,p1,7
o,p2,6
o,p2,6
x,p1,5
x,p2,9
o,p1,6
o,p1,8
o,p1,6
x,p1,7
x,p2,5
o,p1,8
o,p1,8
x,p1,7
o,p1,8
o,p2,6
x,p1,7
x,p2,7
x,p1,7
x,p1,7
x,p1,7
x,p1,7
o,p1,6
o,p1,6
x,p1,5
n,n,9
x,p1,7
o,p1,8
o,p1,8
x,p2,9
x,p1,7
x,p1,7
x,p1,7
o,p1,8
o,p1,6
o,p2,6
x,p1,9
x,p1,5
x,p1,7
x,p1,7
o,p1,8
x,p1,7
o,p1,6
x,p1,7
x,p2,9
x,p1,7
o,p1,8
o,p1,6
o,p2,8
x,p1,7
x,p2,9
x,p1,5
n,n,9
n,n,9
o,p1,6
x,p2,9
x,p1,7
x,p1,7
x,p1,7
o,p1,8
o,p1,8
o,p1,8
x,p1,7
x,p1,7
x,p2,5
x,p2,5
x,p2,7
x,p1,7
x,p2,7
x,p1,5
x,p2,9
x,p1,5
x,p2,5
x,p1,7
x,p1,5
x,p1,5
n,n,9
x,p1,9
o,p1,6
x,p2,7
o,p1,8
x,p1,7
o,p1,6
x,p1,7
o,p1,8
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p1,5
o,p2,8
o,p1,8
o,p2,8
x,p2,9
o,p1,6
x,p2,7
x,p2,5
o,p2,6
x,p1,7
n,n,9
o,p1,6
x,p2,5
x,p1,7
n,n,9
x,p1,7
x,p1,5
o,p1,8
x,p1,7
n,n,9
x,p1,7
x,p1,5
x,p1,7
n,n,9
x,p1,7
x,p1,7
x,p1,5
x,p1,7
x,p1,7
x,p1,7
o,p1,6
x,p1,7
x,p2,7
x,p1,7
x,p1,7
o,p1,6
x,p2,9
x,p1,5
x,p1,7
x,p1,7
x,p1,7
o,p1,6
x,p2,9
x,p1,7
x,p2,7
x,p1,7
x,p1,7
x,p1,7
o,p1,8
x,p1,7
x,p1,5
o,p1,6
x,p2,9
x,p2,7
o,p1,8
x,p1,9
x,p1,7
x,p1,7
x,p1,7
o,p1,8
x,p2,7
x,p1,5
o,p1,8
x,p1,7
x,p1,5
o,p1,8
x,p2,7
x,p2,7
o,p1,6
o,p1,8
x,p1,5
x,p1,7
o,p2,6
x,p1,5
o,p1,8
o,p2,8
x,p2,9
x,p1,7
o,p1,6
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p2,9
o,p1,8
x,p2,5
x,p1,7
x,p1,7
x,p2,9
x,p1,7
x,p2,7
x,p2,7
o,p2,6
x,p2,9
x,p2,5
x,p1,7
x,p1,7
x,p1,9
x,p1,7
o,p2,8
x,p1,7
x,p2,7
x,p2,5
x,p1,9
x,p1,7
x,p2,7
x,p2,5
x,p1,7
x,p2,5
o,p1,6
x,p2,5
o,p1,8
x,p1,5
o,p1,8
n,n,9
x,p1,7
o,p2,6
x,p2,5
x,p1,7
x,p1,7
x,p1,7
n,n,9
x,p1,7
x,p2,9
o,p1,8
x,p1,5
o,p1,8
o,p1,8
x,p1,7
x,p2,7
x,p1,7
o,p1,8
x,p1,7
x,p1,9
x,p1,7
x,p2,7
o,p2,6
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p2,5
o,p1,8
o,p1,8
x,p1,7
n,n,9
o,p1,8
o,p1,6
x,p1,7
x,p2,7
o,p1,8
x,p1,7
o,p1,6
x,p1,7
x,p1,7
x,p2,7
n,n,9
o,p1,8
x,p2,9
o,p1,8
x,p1,7
o,p1,8
o,p1,6
x,p1,7
x,p1,7
o,p1,8
x,p2,7
o,p1,8
x,p1,7
x,p1,7
x,p1,7
x,p2,5
o,p1,8
x,p2,9
o,p2,8
o,p1,8
x,p1,7
o,p1,6
o,p1,8
x,p1,5
x,p2,9
o,p1,6
x,p2,9
o,p1,8
o,p1,8
o,p2,6
x,p1,5
o,p1,8
o,p1,8
x,p2,7
o,p1,6
x,p1,7
o,p1,6
x,p2,9
o,p1,8
x,p1,7
o,p2,6
x,p1,5
x,p1,7
o,p1,6
x,p1,7
x,p2,7
x,p1,7
o,p1,8
o,p1,8
x,p1,7
x,p1,7
x,p2,7
x,p1,5
x,p1,7
x,p2,5
o,p1,8
o,p2,6
o,p1,6
o,p1,6
x,p1,7
o,p1,6
o,p2,6
x,p1,7
x,p2,5
o,p1,8
o,p2,6
x,p1,7
x,p1,7
x,p2,5
o,p1,8
o,p2,8
x,p2,9
x,p1,7
x,p1,5
x,p1,7
x,p1,9
x,p1,7
x,p1,7
x,p1,7
o,p2,6
x,p1,5
o,p2,6
o,p2,6
o,p2,6
x,p1,7
o,p1,6
x,p2,5
x,p1,7
x,p1,7
x,p1,5
x,p1,5
o,p1,8
x,p1,7
x,p2,7
x,p1,7
x,p1,7
o,p1,8
x,p1,7
x,p1,5
o,p1,8
n,n,9
x,p1,5
x,p1,7
o,p1,8
x,p1,5
o,p1,6
o,p2,6
x,p1,7
x,p1,7
x,p1,7
x,p2,9
o,p1,6
x,p2,9
x,p1,7
x,p1,7
x,p1,7
x,p2,7
o,p2,6
x,p2,7
x,p1,5
x,p1,7
x,p1,7
x,p1,7
x,p1,5
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p2,7
o,p1,8
o,p1,8
o,p1,8
x,p1,7
o,p1,6
x,p2,5
x,p1,7
o,p1,6
o,p1,6
o,p2,8
o,p2,6
x,p1,7
x,p1,7
x,p2,7
x,p1,7
x,p1,7
o,p1,8
o,p1,6
o,p1,6
x,p1,7
o,p1,6
o,p1,6
x,p2,5
x,p1,5
x,p1,5
o,p1,8
x,p1,5
x,p1,7
x,p1,7
x,p1,5
o,p1,6
x,p1,5
x,p1,7
x,p1,7
x,p1,7
o,p1,8
x,p1,7
o,p1,6
x,p2,5
x,p1,5
x,p1,7
o,p1,6
o,p1,8
o,p2,6
x,p2,5
o,p1,6
o,p1,8
x,p2,5
o,p1,6
o,p1,8
x,p1,7
x,p1,5
x,p1,5
o,p1,8
x,p2,7
o,p1,6
x,p1,7
o,p1,8
x,p1,7
x,p1,9
o,p2,8
x,p1,7
o,p1,6
x,p2,7
o,p1,6
x,p1,9
o,p1,6
x,p2,5
x,p2,9
x,p1,7
x,p1,7
x,p2,7
x,p2,9
x,p2,7
x,p1,7
o,p1,6
o,p1,8
x,p2,9
x,p1,7
x,p1,7
o,p1,6
x,p1,5
x,p1,7
x,p1,5
x,p1,7
o,p1,8
x,p2,5
x,p1,7
x,p1,7
n,n,9
x,p1,5
o,p1,6
x,p2,7
x,p1,5
n,n,9
x,p1,7
x,p2,9
x,p1,7
o,p1,6
x,p1,7
x,p2,7
x,p2,7
x,p2,9
o,p2,8
x,p1,7
o,p1,6
x,p1,7
x,p1,7
x,p2,7
o,p1,6
o,p1,8
o,p1,8
o,p1,8
o,p1,6
x,p1,5
x,p1,7
x,p1,7
x,p1,7
o,p1,6
x,p1,7
x,p2,7
x,p1,7
x,p1,7
o,p1,8
x,p1,7
o,p2,6
x,p1,7
o,p1,8
x,p2,9
o,p2,8
x,p1,7
o,p1,8
o,p1,6
x,p2,7
o,p2,8
o,p2,6
o,p1,8
x,p1,5
o,p1,8
x,p1,5
x,p1,5
x,p1,5
o,p1,8
o,p1,8
x,p1,7
x,p1,7
o,p1,8
x,p1,7
o,p1,8
o,p1,8
x,p1,7
x,p1,5
x,p1,7
o,p1,8
x,p2,7
o,p1,8
o,p2,8
o,p2,8
o,p1,6
o,p1,6
x,p2,7
x,p1,7
x,p1,7
x,p1,7
x,p1,7
o,p1,8
o,p2,8
x,p2,9
o,p1,8
o,p1,6
o,p1,8
o,p1,6
n,n,9
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p1,7
o,p1,6
o,p1,8
o,p1,8
x,p2,7
o,p1,8
o,p1,6
x,p1,7
x,p2,7
x,p2,9
x,p1,7
o,p1,8
x,p2,9
x,p2,9
o,p1,8
o,p2,6
o,p1,6
x,p1,5
o,p1,8
x,p1,7
x,p1,7
x,p1,7
n,n,9
o,p1,6
x,p1,7
x,p2,7
o,p1,6
x,p2,7
x,p1,7
o,p1,8
x,p2,9
x,p2,5
x,p2,5
o,p1,8
x,p1,7
o,p1,8
o,p1,6
x,p1,7
x,p2,7
x,p1,7
x,p1,7
x,p2,9
o,p2,6
x,p2,5
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p2,5
o,p1,8
x,p1,7
x,p1,7
o,p1,6
x,p2,9
x,p1,7
x,p1,5
x,p1,7
o,p2,6
x,p1,7
x,p1,5
o,p1,6
x,p1,5
x,p1,7
x,p1,7
o,p1,6
o,p1,8
x,p1,7
o,p1,8
x,p2,7
x,p2,5
x,p1,5
x,p1,7
o,p1,6
o,p1,6
x,p1,7
o,p1,6
o,p1,6
x,p2,9
x,p2,7
o,p1,8
x,p1,7
x,p1,7
x,p1,7
x,p2,5
x,p1,7
x,p1,7
o,p1,8
x,p1,7
x,p1,7
x,p1,7
o,p2,6
x,p2,9
x,p1,7
o,p1,6
x,p1,7
o,p1,8
x,p1,7
x,p2,7
o,p1,6
x,p1,7
o,p1,8
x,p1,5
o,p1,6
o,p1,8
x,p2,7
o,p1,8
x,p1,7
o,p1,8
o,p1,8
x,p1,7
o,p1,6
x,p2,5
o,p2,6
x,p1,7
o,p1,8
x,p2,7
x,p1,7
x,p1,7
x,p1,7
o,p1,6
x,p1,5
o,p1,8
o,p1,8
x,p2,7
o,p1,6
o,p1,6
x,p1,7
x,p2,5
x,p1,7
x,p1,5
o,p1,8
x,p1,7
x,p2,7
x,p1,5
x,p2,5
o,p1,8
x,p1,7
o,p1,6
x,p2,7
x,p2,7
o,p2,6
x,p1,7
o,p1,6
o,p1,8
o,p1,8
o,p1,8
x,p1,7
o,p1,6
x,p1,7
o,p1,8
x,p2,9
x,p1,5
o,p1,8
o,p1,6
x,p1,7
o,p1,8
o,p1,8
x,p1,7
x,p1,7
o,p2,6
x,p1,7
x,p1,7
x,p1,7
o,p1,8
x,p2,7
o,p1,8
x,p2,9
x,p1,7
x,p1,7
x,p1,7
o,p1,8
x,p2,7
x,p1,7
x,p1,7
x,p2,5
x,p1,7
x,p1,7
x,p1,7
o,p1,8
o,p2,6
o,p2,8
x,p1,7
x,p1,7
o,p2,8
x,p2,9
o,p1,8
x,p1,5
x,p1,7
o,p1,6
o,p1,8
o,p2,6
x,p2,7
o,p1,8
x,p2,7
o,p1,8
x,p1,7
x,p1,5
o,p1,8
x,p1,7
x,p2,5
o,p1,6
x,p1,7
x,p1,7
o,p1,8
o,p1,8
x,p1,7
o,p1,8
x,p1,7
n,n,9
x,p1,7
x,p2,7
x,p1,7
x,p1,7
x,p2,7
x,p2,9
x,p2,9
x,p1,7
x,p1,7
x,p1,7
o,p2,6
x,p1,7
o,p1,8
x,p1,7
x,p1,5
o,p1,8
o,p1,8
x,p1,9
x,p1,7
o,p1,6
x,p1,7
o,p1,6
x,p1,7
x,p1,7
o,p1,6
x,p1,7
x,p1,7
x,p2,9
o,p2,8
o,p1,6
x,p1,7
x,p1,7
o,p1,8
x,p1,7
x,p1,7
x,p1,7
x,p1,7
n,n,9
x,p1,5
o,p1,6
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p1,9
x,p1,7
x,p1,7
x,p2,7
x,p1,5
x,p2,9
x,p1,5
x,p2,9
x,p2,7
o,p2,8
x,p1,7
o,p1,8
x,p1,7
x,p2,5
x,p1,7
x,p1,7
o,p1,8
x,p2,7
x,p2,7
o,p2,6
o,p1,6
o,p1,8
x,p1,7
o,p1,8
o,p1,8
o,p1,6
x,p1,7
x,p2,9
o,p1,8
o,p1,8
x,p2,7
x,p1,5
x,p1,7
x,p2,7
x,p1,5
x,p1,7
x,p1,7
x,p1,7
n,n,9
x,p1,7
o,p1,6
x,p2,5
x,p1,7
x,p2,7
x,p1,7
x,p1,7
x,p1,5
x,p1,7
n,n,9
o,p1,6
x,p2,5
x,p1,7
x,p1,9
x,p1,5
o,p1,6
o,p1,8
x,p1,7
x,p2,9
o,p1,8
x,p1,7
x,p2,9
x,p1,5
x,p2,5
x,p2,5
o,p1,6
x,p1,7
o,p1,6
x,p2,7
x,p1,7
x,p1,7
x,p1,7
x,p2,5
x,p1,7
x,p2,7
x,p1,7
x,p1,7
x,p1,7
x,p1,7
x,p2,5
x,p2,7
x,p2,7
o,p1,6
x,p1,5
x,p1,5
o,p1,8
x,p2,9
x,p1,7
x,p1,7
x,p1,7
x,p2,7
o,p1,6
o,p1,8
x,p1,9
x,p2,9
x,p1,7
x,p2,9
x,p2,7
o,p1,6
o,p1,8
o,p1,8
x,p1,7
x,p1,5
x,p1,7
o,p1,8
x,p2,7
x,p1,5
x,p2,5
o,p1,8
x,p2,5
x,p1,5
o,p1,8
x,p2,7
o,p1,6
o,p1,8
x,p2,9
x,p1,7
o,p1,8
x,p1,7
x,p1,5
x,p1,7
o,p1,6
x,p1,7
x,p1,7
n,n,9
x,p1,7
o,p2,6
x,p1,7
x,p2,9
x,p2,7
x,p2,7
x,p1,7
x,p1,7
o,p1,6
x,p1,5
o,p1,6
o,p2,8
x,p2,5
x,p2,7
o,p1,8
x,p2,9
x,p1,5
o,p1,8
x,p1,5
o,p1,8
x,p2,7
o,p1,8
x,p1,7
o,p1,8
x,p1,7
x,p1,7
x,p1,7
x,p1,7
o,p1,8
x,p2,7
x,p1,7
o,p1,8
x,p2,7
x,p2,7
x,p1,7
x,p2,7
x,p2,9
x,p2,9
o,p1,6
x,p2,7
x,p2,5
o,p1,6
n,n,9
o,p1,8
o,p1,8
o,p1,6
x,p1,7
x,p1,9
x,p1,7
x,p2,7
o,p1,8
o,p1,8
n,n,9
x,p1,7
o,p1,8
n,n,9
x,p1,7
x,p1,7
o,p1,8
x,p1,7
o,p2,6
o,p2,6
x,p1,5
o,p1,6
o,p1,8
x,p1,7
x,p1,7
x,p1,5
x,p1,7
o,p1,6
x,p2,7
x,p1,7
x,p2,7
o,p1,8
x,p1,5
o,p1,8
x,p1,7
o,p2,6
o,p1,6
o,p2,6
o,p1,8
x,p1,5
o,p1,8
o,p1,8
o,p1,8
x,p1,7
x,p1,7
x,p1,7
x,p2,5
x,p1,7
x,p2,7
o,p1,8
x,p1,7
x,p2,7
x,p1,7
o,p2,6
x,p1,7
x,p2,9
o,p1,6
x,p2,5
o,p2,6
x,p2,7
n,n,9
x,p2,5
o,p1,8
o,p1,8
o,p1,8
x,p1,7
o,p1,6
o,p2,8
o,p1,8
x,p1,7
n,n,9
o,p1,8
x,p1,5
x,p1,9
x,p2,7
x,p1,7
x,p1,7
x,p1,5
o,p1,6
x,p1,5
o,p1,8
x,p1,7
x,p1,7
x,p2,5
x,p2,7
o,p1,6
o,p1,8
x,p2,9
x,p2,9
o,p1,8
x,p1,9
o,p1,8
x,p1,7
o,p1,8
x,p1,9
o,p2,8
x,p1,9
o,p1,8
x,p1,5
o,p1,6
x,p1,5
o,p1,6
x,p2,7
x,p1,7
x,p2,7
x,p2,7
x,p2,9
o,p1,8
x,p1,7
x,p1,7
x,p1,5
o,p1,8
x,p1,5
x,p1,7
x,p1,5
x,p1,7
x,p1,7
o,p1,8
o,p1,8
x,p1,7
o,p1,8
x,p2,5
o,p1,8
x,p1,5
x,p2,7
x,p1,7
o,p1,6
o,p1,8
x,p2,9
x,p1,7
n,n,9
x,p1,7
x,p1,7
x,p1,7
x,p2,7
o,p1,6
x,p2,5
x,p1,7
x,p1,5
n,n,9
o,p2,6
x,p2,7
o,p1,8
o,p1,8
x,p1,5
x,p1,7
o,p2,6
o,p1,6
o,p1,8
o,p1,6
x,p1,7
n,n,9
x,p1,7
x,p1,7
o,p1,8
x,p2,9
x,p1,5
o,p1,8
x,p1,7
x,p1,5
o,p1,8
x,p1,7
x,p2,9
o,p1,8
o,p1,8
x,p1,7
x,p1,7
o,p2,6
o,p1,8
x,p2,5
x,p1,7
o,p2,6
x,p1,7
x,p1,7
x,p1,7
x,p1,7
o,p1,8
x,p2,9
o,p1,8
o,p1,8
o,p2,6
x,p2,7
o,p1,6
x,p1,7
x,p1,7
x,p1,7
o,p1,8
x,p1,5
x,p1,5
n,n,9
x,p1,7
x,p2,7
o,p1,6
x,p1,7
x,p1,5
o,p1,6
x,p1,5
o,p1,8
x,p2,9
x,p1,7
x,p1,7
o,p1,8
x,p2,9
o,p1,8
o,p1,8
x,p1,7
o,p1,8
o,p1,6
x,p2,7
x,p2,9
o,p1,8
o,p1,8
o,p1,8
x,p1,7
o,p2,8
o,p1,6
x,p1,7
x,p1,5
x,p2,7
x,p2,9
x,p2,7
o,p1,8
x,p1,7
x,p1,5
n,n,9
x,p1,7
o,p2,8
x,p1,7
x,p1,7
o,p1,8
x,p1,7
x,p2,9
x,p1,7
x,p1,7
x,p2,9
x,p1,7
x,p1,7
x,p1,7
x,p1,7
o,p1,6
n,n,9
x,p1,7
x,p1,7
o,p1,6
o,p1,6
o,p1,8
x,p1,5
x,p1,7
o,p1,8
o,p1,8
x,p1,7
x,p1,7
o,p1,8
x,p2,5
o,p1,8
x,p1,7
x,p1,7
x,p1,7
o,p1,6
x,p2,7
x,p1,7
o,p2,8
o,p1,6
x,p1,7
x,p2,7
x,p1,7
o,p1,6
o,p2,8
x,p1,7
x,p2,9
